name	status	exit	duration	realtime	cpus	%cpu	memory	%mem	rss
FASTQC (fastqc on NA12877)	COMPLETED	0	19.5s	3s	1	87.7%	2 GB	0.1%	234.3 MB
FASTQC (fastqc on NA12889)	COMPLETED	0	39.2s	4s	1	79.3%	2 GB	0.2%	307.2 MB
FASTQC (fastqc on NA12878)	COMPLETED	0	39.2s	4s	1	77.7%	2 GB	0.1%	292 MB
ALIGN (1)	COMPLETED	0	39.3s	1s	1	93.5%	2 GB	0.1%	100.5 MB
GENOTYPE (1)	COMPLETED	0	1m 10s	42s	1	97.6%	2 GB	0.5%	968.5 MB
JOINT_GENOTYPE (1)	COMPLETED	0	29.9s	11s	1	95.6%	2 GB	0.2%	470.1 MB
STATS (1)	COMPLETED	0	24.8s	0ms	1	44.9%	2 GB	0.0%	3.2 MB
MULTIQC	COMPLETED	0	29.9s	4.2s	1	70.3%	2 GB	0.0%	97.1 MB
