name	status	exit	duration	realtime	cpus	%cpu	memory	%mem	rss
FASTQC (fastqc on NA12878)	COMPLETED	0	19.2s	4s	1	119.1%	2 GB	0.1%	247.8 MB
ALIGN (1)	COMPLETED	0	19.1s	2s	1	64.2%	2 GB	0.0%	96.1 MB
FASTQC (fastqc on NA12889)	COMPLETED	0	19.3s	4s	1	100.3%	2 GB	0.1%	179.6 MB
FASTQC (fastqc on NA12877)	COMPLETED	0	19.2s	4s	1	97.2%	2 GB	0.1%	218 MB
GENOTYPE (1)	COMPLETED	0	54.8s	31s	1	157.1%	2 GB	0.5%	1.3 GB
JOINT_GENOTYPE (1)	COMPLETED	0	39.8s	10s	1	193.3%	2 GB	0.2%	447.2 MB
STATS (1)	COMPLETED	0	19.5s	1s	1	35.8%	2 GB	0.0%	2 MB
MULTIQC	COMPLETED	0	39.5s	7s	1	53.0%	2 GB	0.0%	105.5 MB
